country,count
United States,536
China,320
France,179
Unknown,174
Spain,160
Germany,136
Mexico,123
Poland,120
Argentina,109
Brazil,105
Canada,103
Taiwan,103
United Kingdom,101
South Korea,96
Italy,91
Japan,83
Hungary,75
Colombia,75
Bulgaria,67
Australia,66
Egypt,62
Romania,60
Russia,60
Belgium,57
Chile,57
Czechia,54
Philippines,51
Peru,50
Thailand,47
Puerto Rico,45
Israel,45
Hong Kong,40
Netherlands,39
Ukraine,38
South Africa,38
India,37
Greece,37
Serbia,36
Portugal,35
Malaysia,28
Turkey (Türkiye),28
Switzerland,22
Austria,19
Sweden,19
Georgia,19
Denmark,19
Indonesia,15
Croatia,14
Singapore,13
Guatemala,13
Slovakia,12
Lithuania,12
Moldova,12
New Zealand,10
Belarus,8
Mauritius,8
Vietnam,7
Estonia,6
Tunisia,5
Sri Lanka,4
Lebanon,3
Costa Rica,3
Latvia,3
Iran,3
North Macedonia,3
Bangladesh,3
Saudi Arabia,3
United Arab Emirates,3
Ecuador,2
Norway,2
Ireland,2
Pakistan,2
Bosnia and Herzegovina,2
Jamaica,1
Venezuela,1
Panama,1
Dominican Republic,1
Kuwait,1
Oman,1
Qatar,1
Guadeloupe,1
Martinique,1
Kazakhstan,1
Nepal,1
Algeria,1
