trial_id,title,status,phase,sponsor,sponsor_class,intervention_names,intervention_types,countries,regions,last_update_posted,has_results,source_url
NCT00000416,Prevention of Arthritis-Related Work Disability,COMPLETED,N/A,Boston University Charles River Campus,OTHER,Rehabilitation counseling,other,United States,North America,2017-07-26,False,https://clinicaltrials.gov/study/NCT00000416
NCT00000417,Psychoeducational Approach to Improve Health in Lupus,COMPLETED,Phase 2,Brigham and Women's Hospital,OTHER,Counseling intervention; Informational film,device; procedure,United States,North America,2013-12-24,False,https://clinicaltrials.gov/study/NCT00000417
NCT00000419,Safety of Estrogens in Lupus: Hormone Replacement Therapy,TERMINATED,Phase 3,NYU Langone Health,OTHER,Premarin and Provera,drug,United States,North America,2013-05-03,False,https://clinicaltrials.gov/study/NCT00000419
NCT00000420,Safety of Estrogens in Lupus: Birth Control Pills,COMPLETED,Phase 3,NYU Langone Health,OTHER,Ortho-Novum 777,drug,United States,North America,2013-05-03,False,https://clinicaltrials.gov/study/NCT00000420
NCT00000421,"Serologically Active, Clinically Stable Systemic Lupus Erythematosus",COMPLETED,Phase 2,NYU Langone Health,OTHER,Placebo; Prednisone,drug,United States,North America,2016-03-04,False,https://clinicaltrials.gov/study/NCT00000421
NCT00001212,Drug Therapy in Lupus Nephropathy,COMPLETED,Phase 2,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH,cyclophosphamide; cyclosporin A; prednisone,drug,United States,North America,2008-04-09,False,https://clinicaltrials.gov/study/NCT00001212
NCT00001372,Study of Systemic Lupus Erythematosus,RECRUITING,N/A,National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS),NIH,,,United States,North America,2026-05-01,False,https://clinicaltrials.gov/study/NCT00001372
NCT00001676,Cyclophosphamide and Fludarabine to Treat Lupus Nephritis,COMPLETED,Phase 1,National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS),NIH,SQ Fludarabine,drug,United States,North America,2008-03-04,False,https://clinicaltrials.gov/study/NCT00001676
NCT00001789,BG9588 (Anti-CD40L Antibody) to Treat Lupus Nephritis,COMPLETED,Phase 2,National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS),NIH,BG9588,drug,United States,North America,2008-03-04,False,https://clinicaltrials.gov/study/NCT00001789
NCT00004375,Ultraviolet Light Therapy for Systemic Lupus Erythematosus,UNKNOWN,Phase 2,National Center for Research Resources (NCRR),NIH,ultraviolet A-1 light treatment,procedure,United States,North America,2005-06-24,False,https://clinicaltrials.gov/study/NCT00004375
